date,swap_count,volume_usd,fees_usd
2024-05-08 00:00:00,7660,299410040.9,149705.0205
2024-05-07 00:00:00,7055,224273594.4,112136.7972
2024-05-06 00:00:00,7666,223196102.2,111598.0511
2024-05-05 00:00:00,5914,150235415.2,75117.7076
2024-05-04 00:00:00,5921,128423386.5,64211.69327
2024-05-03 00:00:00,7007,196171226.9,98085.61343
2024-05-02 00:00:00,6960,313898051.5,156949.0258
2024-05-01 00:00:00,9583,449358198.1,224679.0991
2024-04-30 00:00:00,8333,345339540.7,172669.7703
2024-04-29 00:00:00,6490,272045738.2,136022.8691
2024-04-28 00:00:00,5701,217644515.8,108822.2579
2024-04-27 00:00:00,6503,183985218.9,91992.60944
2024-04-26 00:00:00,6435,170519030.1,85259.51504
2024-04-25 00:00:00,6635,242640553.6,121320.2768
2024-04-24 00:00:00,6662,237611147.2,118805.5736
2024-04-23 00:00:00,6795,188150457.7,94075.22886
2024-04-22 00:00:00,6591,234231044.7,117115.5223
2024-04-21 00:00:00,5572,162327129.3,81163.56467
2024-04-20 00:00:00,6050,181566545.6,90783.27279
2024-04-19 00:00:00,8980,440509976.6,220254.9883
2024-04-18 00:00:00,7213,293509308.3,146754.6541
2024-04-17 00:00:00,7080,310736592,155368.296
2024-04-16 00:00:00,8020,360193317.7,180096.6589
2024-04-15 00:00:00,8632,501809120,250904.56
2024-04-14 00:00:00,10197,545171249.5,272585.6248
2024-04-13 00:00:00,8750,605102430.9,302551.2155
2024-04-12 00:00:00,7968,584081151.2,292040.5756
2024-04-11 00:00:00,6802,528740136.7,264370.0684
2024-04-10 00:00:00,7042,441239219.2,220619.6096
2024-04-09 00:00:00,6665,532520030.3,266260.0151
2024-04-08 00:00:00,6809,517654549.9,258827.2749
2024-04-07 00:00:00,5552,318795864.7,159397.9323
2024-04-06 00:00:00,5378,112847277,56423.6385
2024-04-05 00:00:00,6710,287456903.9,143728.4519
2024-04-04 00:00:00,6150,226098562.8,113049.2814
2024-04-03 00:00:00,6424,252286115.3,126143.0576
2024-04-02 00:00:00,8225,383303860,191651.93
2024-04-01 00:00:00,7031,284801354.2,142400.6771
2024-03-31 00:00:00,6001,179268808,89634.40402
2024-03-30 00:00:00,6271,140633005.4,70316.5027
2024-03-29 00:00:00,6529,231357931.6,115678.9658
2024-03-28 00:00:00,6390,270459537.5,135229.7687
2024-03-27 00:00:00,6687,356770127.8,178385.0639
2024-03-26 00:00:00,6720,422666332.7,211333.1664
2024-03-25 00:00:00,6920,347602175.6,173801.0878
2024-03-24 00:00:00,5906,210057645.4,105028.8227
2024-03-23 00:00:00,5632,213815479.1,106907.7395
2024-03-22 00:00:00,7301,493720972.7,246860.4864
2024-03-21 00:00:00,7133,514009999.5,257004.9998
2024-03-20 00:00:00,9907,823311262,411655.631
2024-03-19 00:00:00,10075,686201236.7,343100.6183
2024-03-18 00:00:00,7493,435239356.8,217619.6784
2024-03-17 00:00:00,7175,324325074.8,162162.5374
2024-03-16 00:00:00,7564,431919923.6,215959.9618
2024-03-15 00:00:00,9214,956374060.8,478187.0304
2024-03-14 00:00:00,7119,501212568.4,250606.2842
2024-03-13 00:00:00,5881,362050244,181025.122
2024-03-12 00:00:00,6050,522952199.2,261476.0996
2024-03-11 00:00:00,5991,443133266.7,221566.6334
2024-03-10 00:00:00,5469,306366117.5,153183.0588
2024-03-09 00:00:00,5232,144971223,72485.61148
2024-03-08 00:00:00,5586,322286350.3,161143.1751
2024-03-07 00:00:00,5430,360736739.4,180368.3697
2024-03-06 00:00:00,7207,655792455.7,327896.2278
2024-03-05 00:00:00,7136,639984239.9,319992.12
2024-03-04 00:00:00,5467,318670264.9,159335.1325
2024-03-03 00:00:00,5172,272016820.2,136008.4101
2024-03-02 00:00:00,5298,228654016.5,114327.0083
2024-03-01 00:00:00,6357,283493929.7,141746.9648
2024-02-29 00:00:00,6779,439205429.5,219602.7148
2024-02-28 00:00:00,7076,738738151.8,369369.0759
2024-02-27 00:00:00,6182,429072926.3,214536.4631
2024-02-26 00:00:00,5336,236587420,118293.71
2024-02-25 00:00:00,5158,147971088.4,73985.54419
2024-02-24 00:00:00,4446,120538699.9,60269.34997
2024-02-23 00:00:00,5006,183791674.5,91895.83725
2024-02-22 00:00:00,5131,282369951,141184.9755
2024-02-21 00:00:00,6022,266457667.1,133228.8336
2024-02-20 00:00:00,6927,268244079.8,134122.0399
2024-02-19 00:00:00,6646,236497499.5,118248.7498
2024-02-18 00:00:00,5825,132251565.9,66125.78297
2024-02-17 00:00:00,5182,122303448.9,61151.72443
2024-02-16 00:00:00,5975,142417847,71208.92352
2024-02-15 00:00:00,5965,255688878.5,127844.4392
2024-02-14 00:00:00,6811,193991854.2,96995.9271
2024-02-13 00:00:00,5998,215662005.5,107831.0028
2024-02-12 00:00:00,5016,249414642.9,124707.3215
2024-02-11 00:00:00,4709,188455595.4,94227.7977
2024-02-10 00:00:00,4641,93833496.01,46916.748
2024-02-09 00:00:00,4231,173369711,86684.85549
2024-02-08 00:00:00,4270,194493939.1,97246.96954
2024-02-07 00:00:00,4756,145348688.8,72674.34441
2024-02-06 00:00:00,4762,169617882.4,84808.94121
2024-02-05 00:00:00,4657,120990289.5,60495.14474
2024-02-04 00:00:00,4035,85345521.75,42672.76088
2024-02-03 00:00:00,3866,50253380.52,25126.69026
2024-02-02 00:00:00,5330,131805446.9,65902.72343
2024-02-01 00:00:00,5187,180280673.4,90140.33672
2024-01-31 00:00:00,6005,212549232.1,106274.6161
2024-01-30 00:00:00,5468,170569492,85284.74599
2024-01-29 00:00:00,6194,160959299.7,80479.64983
2024-01-28 00:00:00,5455,87507079.22,43753.53961
2024-01-27 00:00:00,6107,56612848.64,28306.42432
2024-01-26 00:00:00,6078,155621222.1,77810.61105
2024-01-25 00:00:00,6858,224562168,112281.084
2024-01-24 00:00:00,6541,172917523.1,86458.76154
2024-01-23 00:00:00,8845,362163804.7,181081.9023
2024-01-22 00:00:00,8120,307900370.7,153950.1854
2024-01-21 00:00:00,5360,61422376.95,30711.18848
2024-01-20 00:00:00,5355,64907063.01,32453.53151
2024-01-19 00:00:00,8337,194593383.3,97296.69163
2024-01-18 00:00:00,4941,171899704.7,85949.85233
2024-01-17 00:00:00,4342,136928560.7,68464.28036
2024-01-16 00:00:00,4555,158295309.9,79147.65497
2024-01-15 00:00:00,4745,160815558,80407.77898
2024-01-14 00:00:00,4119,168769568.2,84384.78411
2024-01-13 00:00:00,5419,212011482.7,106005.7413
2024-01-12 00:00:00,7613,517031162.2,258515.5811
2024-01-11 00:00:00,7002,275264928.1,137632.4641
2024-01-10 00:00:00,7515,476249382.1,238124.691
2024-01-09 00:00:00,6527,371239209.1,185619.6046
2024-01-08 00:00:00,6702,284707844.7,142353.9224
2024-01-07 00:00:00,3506,108440139.8,54220.0699
2024-01-06 00:00:00,4311,93926487.65,46963.24383
2024-01-05 00:00:00,6046,247241810.4,123620.9052
2024-01-04 00:00:00,6410,222699468.6,111349.7343
2024-01-03 00:00:00,6643,423266150,211633.075
2024-01-02 00:00:00,6778,237087219.2,118543.6096
2024-01-01 00:00:00,5475,144817616,72408.80798
